_id,match_score,ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_keywords,rtable_keywords
202,0.5066964626312256,aspect-aware latent factor model: rating prediction with ratings and reviews,topic modeling in management research: rendering new theory from textual data,z cheng; y ding; l zhu; m kankanhalli,tr hannigan; rfj haans; k vakili,"Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model","topic modeling, management theory, rendering, text analysis, big data, theory building, qualitative analysis, mixed methods"
835,0.39299991726875305,"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models","the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",j treur,zc lipton,"Topic modeling, Network-Oriented Modeling, Adaptive Network","Machine larning, Model Interpretability"
246,0.3950130045413971,automated phrase mining from massive text corpora,cistopic: cis-regulatory topic modeling on single-cell atac-seq data,j shang; j liu; m jiang; x ren,c bravo gonzález-blas; l minnoye; d papasokrati,"Automatic phrase mining, phrase mining, distant training, part-of-speech tag, multiple languages","cis-Regulator, topic modeling"
1163,0.364515483379364,"the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",top concerns of tweeters during the covid-19 pandemic: infoveillance study,zc lipton,a abd-alrazaq; d alhuwail; m househ; m hamdi,"Machine larning, Model Interpretability","coronavirus, COVID-19; SARS-CoV-2 (144); 2019-nCov (8); social media (329); public health (216); Twitter (67); infoveillance (78); infodemiology (134); health informatics (20); disease surveillance (7) "
384,0.7946881651878357,"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions","network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models",ih sarker,j treur,"Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems","Topic modeling, Network-Oriented Modeling, Adaptive Network"
854,0.3904309868812561,no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",e de vries; m schoonvelde; g schumacher,a abdul; j vermeulen; d wang; by lim,"automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA",Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.
219,0.45637741684913635,aspect-aware latent factor model: rating prediction with ratings and reviews,"don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization",z cheng; y ding; l zhu; m kankanhalli,s narayan; sb cohen; m lapata,"Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model","Topic-Aware Convolutional Neural Networks, Extreme Summarization"
641,0.6968251466751099,health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models",q liu; z zheng; j zheng; q chen; g liu; s chen,j treur,coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,"Topic modeling, Network-Oriented Modeling, Adaptive Network"
1,0.6912596821784973,academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,"social media analytics–challenges in topic discovery, data collection, and data preparation",x zhou; w liang; i kevin; k wang,s stieglitz; m mirbabaie; b ross,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration",Social media analytics Social media Information systems Big data
112,0.6302618980407715,applications of deep learning in stock market prediction: recent progress,public perception of the covid-19 pandemic on twitter: sentiment analysis and topic modeling study,w jiang,s boon-itt; y skunkan,Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network ,COVID-19; Twitter; social media; infoveillance; infodemiology; infodemic; data; health informatics; mining; perception; topic modeling
698,0.6001982688903809,"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey",research trends on big data in marketing: a text mining and topic modeling based literature analysis,h jelodar; y wang; c yuan; x feng; x jiang,a amado; p cortez; p rita; s moro,"Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling",Big data Marketing Literature analysis Research trends Text mining
951,0.43895894289016724,"real-time crash prediction models: state-of-the-art, design pathways and ubiquitous requirements",text similarity in vector space models: a comparative study,m hossain; m abdel-aty; ma quddus,o shahmirzadi; a lugowski,ITS Real-time crash prediction model Design pathway Universal design requirements,"text similarity, vector space model, text embedding, patent, big data"
1102,0.40499168634414673,stock movement prediction from tweets and historical prices,toward understanding the topical structure of hospitality literature: applying machine learning and traditional statistics,y xu; sb cohen,e park; b chae; j kwon,"Twitter, Stock Price, Topic Modelling","topical structure modeling, topic modeling"
441,0.6002166867256165,deep sentiment classification and topic discovery on novel coronavirus or covid-19 online discussions: nlp using lstm recurrent neural network approach,topic compositional neural language model,h jelodar; y wang; r orji,w wang; z gan; w wang; d shen,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning","Neural Language Model, Topic Compositional, Topic Modeling"
663,0.4388456642627716,health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,mapping the anti-vaccination movement on facebook,q liu; z zheng; j zheng; q chen; g liu; s chen,n smith; t graham,coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,Anti-vaccination; social network analysis; topic modelling; social network sites; social media
1119,0.49918606877326965,text mining in organizational research,toward understanding the topical structure of hospitality literature: applying machine learning and traditional statistics,vb kobayashi; st mol; ha berkers,e park; b chae; j kwon,"text mining, dimensionality reduction, clustering, topic modeling, classification, validation, job analysis","topical structure modeling, topic modeling"
317,0.45891302824020386,"benchmarking zero-shot text classification: datasets, evaluation and entailment approach",detecting latent topics and trends in educational technologies over four decades using structural topic modeling: a retrospective of all volumes of computers …,w yin; j hay; d roth,x chen; d zou; g cheng; h xie,"Classification, Topic Modelling, Zero-shot text",Applications in subject areas Data science applications in education
648,0.5674856305122375,health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,"multi-co-training for document classification using various document representations: tf–idf, lda, and doc2vec",q liu; z zheng; j zheng; q chen; g liu; s chen,d kim; d seo; s cho; p kang,coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,"Document classification, Semi-Supervised Learning, TF–IDF, LDA, Doc2Vec, Co-Training"
709,0.5221285820007324,"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey","the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",h jelodar; y wang; c yuan; x feng; x jiang,zc lipton,"Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling","Machine larning, Model Interpretability"
972,0.7285354733467102,research trends on big data in marketing: a text mining and topic modeling based literature analysis,social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,a amado; p cortez; p rita; s moro,b jeong; j yoon; jm lee,Big data Marketing Literature analysis Research trends Text mining,Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis
627,0.4892760217189789,framing covid-19: how we conceptualize and discuss the pandemic on twitter,stm: an r package for structural topic models,p wicke; mm bolognesi,me roberts; bm stewart; d tingley,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning","Structural Topic Model, Topic Modeling, Text Classifications"
632,0.4767572283744812,health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,the utility of topic modelling for discourse studies: a critical evaluation,q liu; z zheng; j zheng; q chen; g liu; s chen,g brookes; t mcenery,coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,"Corpus linguistics, corpus-assisted discourse studies, latent Dirichlet allocation, patient feedback, topic modelling"
1195,0.5293882489204407,topic compositional neural language model,toward understanding the topical structure of hospitality literature: applying machine learning and traditional statistics,w wang; z gan; w wang; d shen,e park; b chae; j kwon,"Neural Language Model, Topic Compositional, Topic Modeling","topical structure modeling, topic modeling"
1222,0.6059449315071106,what do hotel customers complain about? text analysis using structural topic model,what is wrong with topic modeling? and how to fix it using search-based software engineering,n hu; t zhang; b gao; i bose,a agrawal; w fu; t menzies,Online hotel reviews Customer dissatisfaction Structural topic model Text mining Tripadviso,"Topic modeling, Stability, LDA, tuning, differential evolution"
795,0.44761034846305847,"multi-co-training for document classification using various document representations: tf–idf, lda, and doc2vec",the utility of topic modelling for discourse studies: a critical evaluation,d kim; d seo; s cho; p kang,g brookes; t mcenery,"Document classification, Semi-Supervised Learning, TF–IDF, LDA, Doc2Vec, Co-Training","Corpus linguistics, corpus-assisted discourse studies, latent Dirichlet allocation, patient feedback, topic modelling"
645,0.4708839952945709,health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,the effect of online reviews on product sales: a joint sentiment-topic analysis,q liu; z zheng; j zheng; q chen; g liu; s chen,x li; c wu; f mai,coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,"eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis"
1012,0.5780220031738281,"sharp nearby, fuzzy far away: how neural language models use context",stock movement prediction from tweets and historical prices,u khandelwal; h he; p qi; d jurafsky,y xu; sb cohen,"Fuzzy, Topic Modelling, Neutral Language Model","Twitter, Stock Price, Topic Modelling"
556,0.3420414626598358,"don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization",text mining in organizational research,s narayan; sb cohen; m lapata,vb kobayashi; st mol; ha berkers,"Topic-Aware Convolutional Neural Networks, Extreme Summarization","text mining, dimensionality reduction, clustering, topic modeling, classification, validation, job analysis"
681,0.5342409014701843,heterogeneous graph attention networks for semi-supervised short text classification,stock movement prediction from tweets and historical prices,h linmei; t yang; c shi; h ji; x li,y xu; sb cohen,"Heterogeneous Graph Attention Networks, Semi-supervised Short Text Classification","Twitter, Stock Price, Topic Modelling"
577,0.46023356914520264,facebook language predicts depression in medical records,"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey",jc eichstaedt; rj smith,h jelodar; y wang; c yuan; x feng; x jiang,"big data, depression, social media, Facebook, screening","Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling"
524,0.49705952405929565,"don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization",health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,s narayan; sb cohen; m lapata,q liu; z zheng; j zheng; q chen; g liu; s chen,"Topic-Aware Convolutional Neural Networks, Extreme Summarization",coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) 
1059,0.8858199119567871,social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,what do hotel customers complain about? text analysis using structural topic model,b jeong; j yoon; jm lee,n hu; t zhang; b gao; i bose,Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis,Online hotel reviews Customer dissatisfaction Structural topic model Text mining Tripadviso
540,0.3774581849575043,"don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization","the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",s narayan; sb cohen; m lapata,zc lipton,"Topic-Aware Convolutional Neural Networks, Extreme Summarization","Machine larning, Model Interpretability"
748,0.6176496148109436,leveraging deep learning with lda-based text analytics to detect automobile insurance fraud,stock movement prediction from tweets and historical prices,y wang; w xu,y xu; sb cohen,"Insurance Fraud, Fraud Detection, Text Analytics, Topic Modeling, Deep Learning","Twitter, Stock Price, Topic Modelling"
1133,0.5021389126777649,text similarity in vector space models: a comparative study,toward understanding the topical structure of hospitality literature: applying machine learning and traditional statistics,o shahmirzadi; a lugowski,e park; b chae; j kwon,"text similarity, vector space model, text embedding, patent, big data","topical structure modeling, topic modeling"
484,0.6710575819015503,diachronic word embeddings and semantic shifts: a survey,"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey",a kutuzov; l øvrelid; t szymanski; e velldal,h jelodar; y wang; c yuan; x feng; x jiang,"Word Embedding, Semantic Shift, Topic Modelling ","Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling"
95,0.6498856544494629,analyst information discovery and interpretation roles: a topic modeling approach,facebook language predicts depression in medical records,ah huang; r lehavy; ay zang,jc eichstaedt; rj smith,"analysts, discovery, interpretation, topic modeling, latent Dirichlet allocation","big data, depression, social media, Facebook, screening"
1020,0.7976927161216736,short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,"social media analytics–challenges in topic discovery, data collection, and data preparation",t shi; k kang; j choo; ck reddy,s stieglitz; m mirbabaie; b ross,"Topic modeling, short texts, non-negative matrix factorization, word embedding",Social media analytics Social media Information systems Big data
563,0.3841727674007416,facebook language predicts depression in medical records,"sharp nearby, fuzzy far away: how neural language models use context",jc eichstaedt; rj smith,u khandelwal; h he; p qi; d jurafsky,"big data, depression, social media, Facebook, screening","Fuzzy, Topic Modelling, Neutral Language Model"
742,0.40921151638031006,leveraging deep learning with lda-based text analytics to detect automobile insurance fraud,the utility of topic modelling for discourse studies: a critical evaluation,y wang; w xu,g brookes; t mcenery,"Insurance Fraud, Fraud Detection, Text Analytics, Topic Modeling, Deep Learning","Corpus linguistics, corpus-assisted discourse studies, latent Dirichlet allocation, patient feedback, topic modelling"
863,0.4338364005088806,no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,the effect of online reviews on product sales: a joint sentiment-topic analysis,e de vries; m schoonvelde; g schumacher,x li; c wu; f mai,"automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA","eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis"
891,0.37779921293258667,policy diffusion: the issue‐definition stage,"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",f gilardi; cr shipan; b wüest,h li; j zhu; c ma; j zhang,"Policy Diffusion, Topic Modeling, Definion Stage","Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision"
1038,0.8278783559799194,"social media analytics–challenges in topic discovery, data collection, and data preparation",topic modeling in management research: rendering new theory from textual data,s stieglitz; m mirbabaie; b ross,tr hannigan; rfj haans; k vakili,Social media analytics Social media Information systems Big data,"topic modeling, management theory, rendering, text analysis, big data, theory building, qualitative analysis, mixed methods"
206,0.5713725686073303,aspect-aware latent factor model: rating prediction with ratings and reviews,"social media analytics–challenges in topic discovery, data collection, and data preparation",z cheng; y ding; l zhu; m kankanhalli,s stieglitz; m mirbabaie; b ross,"Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model",Social media analytics Social media Information systems Big data
392,0.6700341701507568,"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions",social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,ih sarker,b jeong; j yoon; jm lee,"Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems",Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis
794,0.5367187857627869,"multi-co-training for document classification using various document representations: tf–idf, lda, and doc2vec","social media analytics–challenges in topic discovery, data collection, and data preparation",d kim; d seo; s cho; p kang,s stieglitz; m mirbabaie; b ross,"Document classification, Semi-Supervised Learning, TF–IDF, LDA, Doc2Vec, Co-Training",Social media analytics Social media Information systems Big data
870,0.4264293909072876,no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,stm: an r package for structural topic models,e de vries; m schoonvelde; g schumacher,me roberts; bm stewart; d tingley,"automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA","Structural Topic Model, Topic Modeling, Text Classifications"
397,0.6659640073776245,"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions",top concerns of tweeters during the covid-19 pandemic: infoveillance study,ih sarker,a abd-alrazaq; d alhuwail; m househ; m hamdi,"Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems","coronavirus, COVID-19; SARS-CoV-2 (144); 2019-nCov (8); social media (329); public health (216); Twitter (67); infoveillance (78); infodemiology (134); health informatics (20); disease surveillance (7) "
766,0.39985576272010803,mapping the anti-vaccination movement on facebook,the utility of topic modelling for discourse studies: a critical evaluation,n smith; t graham,g brookes; t mcenery,Anti-vaccination; social network analysis; topic modelling; social network sites; social media,"Corpus linguistics, corpus-assisted discourse studies, latent Dirichlet allocation, patient feedback, topic modelling"
1215,0.4316357374191284,"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",what is wrong with topic modeling? and how to fix it using search-based software engineering,a abdul; j vermeulen; d wang; by lim,a agrawal; w fu; t menzies,Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,"Topic modeling, Stability, LDA, tuning, differential evolution"
1028,0.5875071287155151,short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,using social media to mine and analyze public opinion related to covid-19 in china,t shi; k kang; j choo; ck reddy,x han; j wang; m zhang; x wang,"Topic modeling, short texts, non-negative matrix factorization, word embedding",coronavirus; COVID-19; social media; public opinion; China; resource allocation
642,0.5171773433685303,health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,what is wrong with topic modeling? and how to fix it using search-based software engineering,q liu; z zheng; j zheng; q chen; g liu; s chen,a agrawal; w fu; t menzies,coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,"Topic modeling, Stability, LDA, tuning, differential evolution"
612,0.5016229152679443,framing covid-19: how we conceptualize and discuss the pandemic on twitter,textured interfaces in monolithic perovskite/silicon tandem solar cells: advanced light management for improved efficiency and energy yield,p wicke; mm bolognesi,m jošt; e köhnen; ab morales-vilches,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning","textured interfaces, solar cells, advance light management"
960,0.5863907337188721,"real-time crash prediction models: state-of-the-art, design pathways and ubiquitous requirements",using social media to mine and analyze public opinion related to covid-19 in china,m hossain; m abdel-aty; ma quddus,x han; j wang; m zhang; x wang,ITS Real-time crash prediction model Design pathway Universal design requirements,coronavirus; COVID-19; social media; public opinion; China; resource allocation
725,0.6628600358963013,"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey","multi-co-training for document classification using various document representations: tf–idf, lda, and doc2vec",h jelodar; y wang; c yuan; x feng; x jiang,d kim; d seo; s cho; p kang,"Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling","Document classification, Semi-Supervised Learning, TF–IDF, LDA, Doc2Vec, Co-Training"
683,0.486992746591568,heterogeneous graph attention networks for semi-supervised short text classification,"the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",h linmei; t yang; c shi; h ji; x li,zc lipton,"Heterogeneous Graph Attention Networks, Semi-supervised Short Text Classification","Machine larning, Model Interpretability"
98,0.4916961193084717,applications of deep learning in stock market prediction: recent progress,aspect-aware latent factor model: rating prediction with ratings and reviews,w jiang,z cheng; y ding; l zhu; m kankanhalli,Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network ,"Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model"
804,0.478632390499115,"multi-co-training for document classification using various document representations: tf–idf, lda, and doc2vec",research trends on big data in marketing: a text mining and topic modeling based literature analysis,d kim; d seo; s cho; p kang,a amado; p cortez; p rita; s moro,"Document classification, Semi-Supervised Learning, TF–IDF, LDA, Doc2Vec, Co-Training",Big data Marketing Literature analysis Research trends Text mining
406,0.8922420144081116,deep sentiment classification and topic discovery on novel coronavirus or covid-19 online discussions: nlp using lstm recurrent neural network approach,health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,h jelodar; y wang; r orji,q liu; z zheng; j zheng; q chen; g liu; s chen,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning",coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) 
502,0.46842414140701294,diachronic word embeddings and semantic shifts: a survey,using social media to mine and analyze public opinion related to covid-19 in china,a kutuzov; l øvrelid; t szymanski; e velldal,x han; j wang; m zhang; x wang,"Word Embedding, Semantic Shift, Topic Modelling ",coronavirus; COVID-19; social media; public opinion; China; resource allocation
1071,0.46973639726638794,social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,text mining in organizational research,b jeong; j yoon; jm lee,vb kobayashi; st mol; ha berkers,Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis,"text mining, dimensionality reduction, clustering, topic modeling, classification, validation, job analysis"
1056,0.9241341352462769,social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,topic modeling in management research: rendering new theory from textual data,b jeong; j yoon; jm lee,tr hannigan; rfj haans; k vakili,Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis,"topic modeling, management theory, rendering, text analysis, big data, theory building, qualitative analysis, mixed methods"
929,0.5404105186462402,"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video","social media analytics–challenges in topic discovery, data collection, and data preparation",h li; j zhu; c ma; j zhang,s stieglitz; m mirbabaie; b ross,"Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision",Social media analytics Social media Information systems Big data
779,0.4905988872051239,mapping the anti-vaccination movement on facebook,top concerns of tweeters during the covid-19 pandemic: infoveillance study,n smith; t graham,a abd-alrazaq; d alhuwail; m househ; m hamdi,Anti-vaccination; social network analysis; topic modelling; social network sites; social media,"coronavirus, COVID-19; SARS-CoV-2 (144); 2019-nCov (8); social media (329); public health (216); Twitter (67); infoveillance (78); infodemiology (134); health informatics (20); disease surveillance (7) "
200,0.5451101064682007,aspect-aware latent factor model: rating prediction with ratings and reviews,facebook language predicts depression in medical records,z cheng; y ding; l zhu; m kankanhalli,jc eichstaedt; rj smith,"Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model","big data, depression, social media, Facebook, screening"
134,0.4599625766277313,applications of deep learning in stock market prediction: recent progress,"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",w jiang,h li; j zhu; c ma; j zhang,Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network ,"Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision"
1051,0.6803982853889465,"social media analytics–challenges in topic discovery, data collection, and data preparation",top concerns of tweeters during the covid-19 pandemic: infoveillance study,s stieglitz; m mirbabaie; b ross,a abd-alrazaq; d alhuwail; m househ; m hamdi,Social media analytics Social media Information systems Big data,"coronavirus, COVID-19; SARS-CoV-2 (144); 2019-nCov (8); social media (329); public health (216); Twitter (67); infoveillance (78); infodemiology (134); health informatics (20); disease surveillance (7) "
40,0.3402779698371887,academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,top concerns of tweeters during the covid-19 pandemic: infoveillance study,x zhou; w liang; i kevin; k wang,a abd-alrazaq; d alhuwail; m househ; m hamdi,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","coronavirus, COVID-19; SARS-CoV-2 (144); 2019-nCov (8); social media (329); public health (216); Twitter (67); infoveillance (78); infodemiology (134); health informatics (20); disease surveillance (7) "
1017,0.672728419303894,short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,cistopic: cis-regulatory topic modeling on single-cell atac-seq data,t shi; k kang; j choo; ck reddy,c bravo gonzález-blas; l minnoye; d papasokrati,"Topic modeling, short texts, non-negative matrix factorization, word embedding","cis-Regulator, topic modeling"
230,0.5130460858345032,aspect-aware latent factor model: rating prediction with ratings and reviews,policy diffusion: the issue‐definition stage,z cheng; y ding; l zhu; m kankanhalli,f gilardi; cr shipan; b wüest,"Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model","Policy Diffusion, Topic Modeling, Definion Stage"
378,0.6727083325386047,"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions",the effect of online reviews on product sales: a joint sentiment-topic analysis,ih sarker,x li; c wu; f mai,"Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems","eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis"
288,0.4713541269302368,"benchmarking zero-shot text classification: datasets, evaluation and entailment approach","don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization",w yin; j hay; d roth,s narayan; sb cohen; m lapata,"Classification, Topic Modelling, Zero-shot text","Topic-Aware Convolutional Neural Networks, Extreme Summarization"
418,0.677174985408783,deep sentiment classification and topic discovery on novel coronavirus or covid-19 online discussions: nlp using lstm recurrent neural network approach,"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models",h jelodar; y wang; r orji,j treur,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning","Topic modeling, Network-Oriented Modeling, Adaptive Network"
391,0.4979432225227356,"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions",diachronic word embeddings and semantic shifts: a survey,ih sarker,a kutuzov; l øvrelid; t szymanski; e velldal,"Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems","Word Embedding, Semantic Shift, Topic Modelling "
592,0.35316202044487,facebook language predicts depression in medical records,"the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",jc eichstaedt; rj smith,zc lipton,"big data, depression, social media, Facebook, screening","Machine larning, Model Interpretability"
1086,0.5723341107368469,stm: an r package for structural topic models,textured interfaces in monolithic perovskite/silicon tandem solar cells: advanced light management for improved efficiency and energy yield,me roberts; bm stewart; d tingley,m jošt; e köhnen; ab morales-vilches,"Structural Topic Model, Topic Modeling, Text Classifications","textured interfaces, solar cells, advance light management"
647,0.41939276456832886,health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",q liu; z zheng; j zheng; q chen; g liu; s chen,h li; j zhu; c ma; j zhang,coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,"Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision"
520,0.41765308380126953,diachronic word embeddings and semantic shifts: a survey,"the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",a kutuzov; l øvrelid; t szymanski; e velldal,zc lipton,"Word Embedding, Semantic Shift, Topic Modelling ","Machine larning, Model Interpretability"
64,0.6868747472763062,analyst information discovery and interpretation roles: a topic modeling approach,health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,ah huang; r lehavy; ay zang,q liu; z zheng; j zheng; q chen; g liu; s chen,"analysts, discovery, interpretation, topic modeling, latent Dirichlet allocation",coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) 
14,0.48497626185417175,academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,applications of deep learning in stock market prediction: recent progress,x zhou; w liang; i kevin; k wang,w jiang,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration",Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network 
1064,0.834430992603302,social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,stock movement prediction from tweets and historical prices,b jeong; j yoon; jm lee,y xu; sb cohen,Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis,"Twitter, Stock Price, Topic Modelling"
492,0.5031405091285706,diachronic word embeddings and semantic shifts: a survey,what is wrong with topic modeling? and how to fix it using search-based software engineering,a kutuzov; l øvrelid; t szymanski; e velldal,a agrawal; w fu; t menzies,"Word Embedding, Semantic Shift, Topic Modelling ","Topic modeling, Stability, LDA, tuning, differential evolution"
